,title,posted_by,content
120,"WhatsApp, Facebook, Instagram Outage: Mark Zuckerberg Loses $6 Billion in Hours as Services Plunge","Reuters | Tuesday October 05, 2021","Mark Zuckerberg’s personal wealth has fallen by more than $6 billion (roughly ₹ 44,790 cores) in a few hours, knocking him down a notch on the list of the world’s richest people, after a whistleblower came forward and outages took Facebook’s flagship products offline."
121,"Apple Watch Series 7 Price in India Now Official, Sale Date Set for October 15","Jagmeet Singh | Tuesday October 05, 2021","Apple Watch Series 7 price India and availability have been officially announced. The new Apple Watch will go on sale from October 15, while its pre-orders will begin from Friday, October 8, Apple has announced."
122,,,
123,Paid To Finish Games For Delhi Capitals: Shimron Hetmyer,"Asian News International | Tuesday October 05, 2021","IPL 2021, DC vs CSK: Shimron Hetmyer was in top batting form for Delhi Capitals in their win against Chennai Super Kings on Monday."
124,JEE Advanced 2021 Students’ Response Sheets Today; Know How To Download,"Written by Mridusmita Deka | Tuesday October 05, 2021",JEE Advanced Response Sheet: The applicants who appeared for the IIT entrance test on October 3 will be able to download their response sheets from the official website -- jeeadv.ac.in.
125,Edward Snowden Says China’s Crypto Crackdown Made Bitcoin Stronger,"Radhika Parashar | Tuesday October 05, 2021","NSA whistleblower Edward Snowden threw shade at China via Twitter, saying that Bitcoin got even stronger after the Asian super-power imposed a blanket ban on crypto-activities and made it a punishable offence."
126,,,
127,"Pak Talks About Peace At UN, Its PM Glorifies Global Terrorists: India","Press Trust of India | Tuesday October 05, 2021, United Nations","Strongly hitting out at Pakistan for again raking up the Kashmir issue at the UN, India has said a constructive contribution cannot be expected from a country that has an established practice of hosting terrorists."
128,"Plane With 80 On Board Skids Off Runway At Nepal's Airport, No Casualties","Asian News International | Tuesday October 05, 2021, Kathmandu","An aircraft of Nepal's domestic carrier with 80 people on board skidded off the runway this morning. No casualties have been reported, airport authorities confirmed."
129,2022 Kawasaki Versys 1000 Introduced; New Base Variant Announced,"Written by carandbike team | Tuesday October 05, 2021","Kawasaki Versys 1000 line-up gets a base model, which offers a lower price point than the S and SE trims."
130,"On Facebook Outage Day, Signal vs Instagram Snowballs. It Happened On Twitter","Written by Sanya Jain | Tuesday October 05, 2021","Facebook suffered a six-hour outage on Monday that spanned its WhatsApp messenger and photo-sharing platform Instagram, shutting out many of its 2.7 billion users worldwide."
131,Russian Film Crew Set To Blast Off To Make First Movie In Space,"Agence France-Presse | Tuesday October 05, 2021, Moscow",Russia on Tuesday is set to launch an actress and a film director into space in a bid to best the United States to the first movie in orbit.
132,"Realme UI 3.0 Launching on October 13, Realme GT to Be First Series to Receive Android 12-Based Build","Satvik Khare | Tuesday October 05, 2021","Realme UI 3.0, based on Android 12, has been confirmed to launch on October 13. The Realme GT series will be among the first devices to receive the stable version of the latest Android operating system. Realme, however, hasn't mentioned the exact date of the launch."
133,"""Wasn't The Only One"": Stephen Fleming On MS Dhoni's Sluggish Knock vs Delhi Capitals","Santosh Rao | Tuesday October 05, 2021","DC vs CSK: CSK captain MS Dhoni struggled to get going and was finally dismissed for 18 having played 27 balls, a strike rate of 66.66."
134,Delayed Recovery Greatest Risk To Pandemic-Hit Indian Economy: Poll,"Reuters | Tuesday October 05, 2021","Price pressures in the world's second most populous country have soared thanks to rising fuel prices, but the RBI is not expected to raise interest rates."
135,"CUCET 2021: NTA Releases Answer Keys, Raise Objections Till October 5","Written by Aarzoo Snigdha | Tuesday October 05, 2021",Candidates can check the CUCET 2021 answer keys and question paper with response sheet at the official website— cucet.nta.nic.in.
